n_keep,beta,mu_wm,mu_rand,var_wm,var_rand,dprime,tau_alpha,TPR_at_tau,FPR_at_tau,bayes_error_Pe,overlap_area_approx
1,0.0009765625,0.8586016555059524,2.6212909226190475,0.07386848117212347,0.06036731231866945,4.811069081946931,1.6455078125,0.9885714285714285,0.0,0.008074412637075144,0.016148825274150288
2,0.001953125,0.9216292317708333,2.712593005952381,0.08474608399561645,0.03923620201812489,5.086358669438725,2.02294921875,0.9923809523809524,0.0,0.005492441664026931,0.010984883328053863
3,0.0029296875,0.9746306113591269,2.7833668154761906,0.10095651402588621,0.031324946191922456,4.9730833876854055,2.2535807291666665,0.9923809523809524,0.0,0.006449572680865747,0.012899145361731494
4,0.00390625,1.0205948893229166,2.8408277529761903,0.11813378577487918,0.025757888290761644,4.798539990177157,2.371826171875,0.9923809523809524,0.0,0.008213898369660572,0.016427796739321144
5,0.0048828125,1.0619305245535715,2.8893504464285713,0.1361962687301532,0.02212094539197217,4.5927656486588795,2.4552734375,0.9904761904761905,0.0,0.01082700107732815,0.0216540021546563
6,0.005859375,1.1003004092261905,2.9310137648809524,0.15422045144632657,0.01936304460102813,4.394061533262728,2.5519205729166665,0.9904761904761905,0.0,0.014009124485059388,0.028018248970118776
7,0.0068359375,1.137412042942177,2.968029336734694,0.17379369781634915,0.017222045926623453,4.188543005870933,2.6357421875,0.9904761904761905,0.0,0.018117900687353843,0.036235801374707687
8,0.0078125,1.1729700288318452,3.000760788690476,0.19373221834886567,0.015626745132132906,3.9946680657360156,2.6993408203125,0.9904761904761905,0.0,0.022894454336422423,0.045788908672844846
9,0.0087890625,1.2068875558035717,3.030304646164021,0.2141140576026801,0.014359171335249003,3.8147700232698085,2.7406684027777777,0.9904761904761905,0.0,0.028235374426106696,0.05647074885221339
10,0.009765625,1.2398623511904763,3.0573046875,0.23346923308431433,0.013369310102389967,3.6580880371424915,2.7677734375,0.9885714285714285,0.0,0.033696507124517806,0.06739301424903561
11,0.0107421875,1.2730933779761906,3.0822629193722944,0.252595231999515,0.012544861321048598,3.5135130026193377,2.7947443181818183,0.9885714285714285,0.0,0.039479661162550465,0.07895932232510093
12,0.01171875,1.3060536799355158,3.105411706349207,0.2714186632339929,0.011927477706397809,3.380328713322617,2.8175455729166665,0.9866666666666667,0.0,0.04549825767323917,0.09099651534647835
13,0.0126953125,1.3389530391483517,3.1269207875457874,0.28988534040382674,0.011458499721757094,3.2570807178690195,2.8372896634615383,0.9866666666666667,0.0,0.0517051793972925,0.103410358794585
14,0.013671875,1.370704420440051,3.147080144557823,0.3082455662984089,0.011062514861525579,3.143618779465261,2.8543526785714284,0.9866666666666667,0.0,0.05799738163206266,0.11599476326412532
15,0.0146484375,1.4011773933531746,3.166055555555556,0.326070994345817,0.010696646797195276,3.041232002760988,2.8696614583333333,0.9866666666666667,0.0,0.06417811446293323,0.12835622892586646
16,0.015625,1.4308036295572917,3.184061104910714,0.3433745288233683,0.010371885271570284,2.9478112788130466,2.8834228515625,0.9847619047619047,0.0,0.07025349957869073,0.14050699915738146
17,0.0166015625,1.4597546010591735,3.2011580882352937,0.3599327384108002,0.010088794200116019,2.862766397901272,2.8956801470588234,0.9828571428571429,0.0,0.07616021043621801,0.15232042087243602
18,0.017578125,1.4882572492972883,3.217334242724868,0.3759565056743441,0.009828156902062382,2.7838245047544783,2.9076605902777777,0.979047619047619,0.0,0.0819744855682954,0.1639489711365908
19,0.0185546875,1.5164891966243734,3.232707941729323,0.3913657525425459,0.009589403451079444,2.7103460242438664,2.9200246710526314,0.9714285714285714,0.0,0.08768122049974719,0.17536244099949438
20,0.01953125,1.5446859886532738,3.2474175967261902,0.40621053448471645,0.009375263217612638,2.6412885532712074,2.9318359375,0.9695238095238096,0.0,0.09331000108656923,0.18662000217313846
21,0.0205078125,1.572647768742914,3.2615706490929703,0.4206880282241208,0.009162157037115705,2.576032038632777,2.945033482142857,0.9676190476190476,0.0,0.09887019345189801,0.19774038690379603
22,0.021484375,1.5998699396306817,3.2751645359848487,0.43475699905711507,0.008972363235636958,2.514965917133495,2.9581853693181817,0.9638095238095238,0.0,0.10428940302053025,0.2085788060410605
23,0.0224609375,1.6264721022580229,3.288295645703933,0.44847350980237993,0.008801136858683658,2.457515954531715,2.9714673913043477,0.9619047619047619,0.0,0.10958128073474016,0.21916256146948032
24,0.0234375,1.6524737064422121,3.3009779575892857,0.4616494468981799,0.0086287584701885,2.403879231341518,2.9837239583333335,0.96,0.0,0.1146934621317508,0.2293869242635016
25,0.0244140625,1.6782078311011905,3.313263244047619,0.47420888273826595,0.008461139359945993,2.3534626621601418,2.995859375,0.9561904761904761,0.0,0.11965137917392421,0.23930275834784842
26,0.025390625,1.7033087761847527,3.325150383470696,0.4866116968440891,0.00830249960189251,2.3053851002356174,3.007136418269231,0.9561904761904761,0.0,0.1245183001718364,0.2490366003436728
27,0.0263671875,1.7276755917934303,3.33668499228395,0.4986322004391533,0.008156594625703034,2.2601906777668375,3.0183015046296298,0.9466666666666667,0.0,0.1292180267967446,0.2584360535934892
28,0.02734375,1.7514056022799747,3.3478947438350337,0.5102811767353023,0.008014091793237286,2.2175700472075786,3.029017857142857,0.939047619047619,0.0,0.13376146635764247,0.26752293271528493
29,0.0283203125,1.7746645852575944,3.3587517959770112,0.5215825800766395,0.007873252374573259,2.177029024940224,3.039197198275862,0.939047619047619,0.0,0.13818401670363528,0.27636803340727056
30,0.029296875,1.7973608785962303,3.3693619791666665,0.5325964295628061,0.00773780927908835,2.13856079942807,3.048697916666667,0.9371428571428572,0.0,0.14247166990148707,0.28494333980297415
31,0.0302734375,1.8196540028561827,3.379708981374808,0.543096952313856,0.007604771837537737,2.1022370491098594,3.057774697580645,0.9371428571428572,0.0,0.14660207854384683,0.29320415708769365
32,0.03125,1.8413774036225818,3.3898079427083334,0.553324936606717,0.007479244605010095,2.067693234172148,3.06689453125,0.9371428571428572,0.0,0.1506039372346989,0.3012078744693978
33,0.0322265625,1.8626510219381311,3.3996626984126985,0.5632639361127469,0.007363244832899618,2.034702597049457,3.0755208333333335,0.9333333333333333,0.0,0.15449317060262951,0.30898634120525903
34,0.033203125,1.8833620147277659,3.4092798056722686,0.5728604889401919,0.007254804100990132,2.003429107629152,3.084041819852941,0.9314285714285714,0.0,0.15824073776258107,0.31648147552516215
35,0.0341796875,1.9035399792729593,3.4186631590136054,0.5821846867427787,0.007150358764298887,1.97363486548141,3.0921875,0.9314285714285714,0.0,0.16186607351754356,0.3237321470350871
36,0.03515625,1.9232417095527445,3.427864583333333,0.5912017146467203,0.007049448055817015,1.945296852735446,3.1010199652777777,0.9314285714285714,0.0,0.16536403286145607,0.33072806572291213
37,0.0361328125,1.9424975240307272,3.4368813344594593,0.599956674818423,0.006954035741822526,1.9182259108111481,3.109691722972973,0.9314285714285714,0.0,0.16875092225983873,0.33750184451967746
38,0.037109375,1.9612855013510337,3.4457131109022554,0.6084498750474765,0.00686965471375093,1.8923814125950078,3.1180612664473686,0.9314285714285714,0.0,0.1720256627649453,0.3440513255298906
39,0.0380859375,1.97968019068605,3.4543536324786324,0.6166472050333734,0.0067888465318721725,1.8676689664297372,3.1260516826923075,0.9314285714285714,0.0,0.17519463942877406,0.3503892788575481
40,0.0390625,1.997713646298363,3.4628196614583335,0.6245298389624372,0.006711301740374578,1.8440445267276908,3.133740234375,0.9295238095238095,0.0,0.1782584814846921,0.3565169629693842
41,0.0400390625,2.0153479897103654,3.4711368503193962,0.6321520223501695,0.00663426679605903,1.8214640287118,3.1411490091463414,0.9257142857142857,0.0,0.18121829575209303,0.36243659150418606
42,0.041015625,2.0326579883255382,3.4792838541666664,0.6394606444893824,0.006559778474555929,1.7998366959476146,3.1484375,0.9180952380952381,0.0,0.1840818525448512,0.3681637050897024
43,0.0419921875,2.049628160039452,3.487303779069767,0.6465380666229076,0.00648911843782906,1.7790791798507883,3.155841206395349,0.9180952380952381,0.0,0.18685657806231748,0.37371315612463496
44,0.04296875,2.066263094815341,3.4951798396915583,0.6533684823972268,0.006420930991734086,1.7591555959474325,3.162997159090909,0.9180952380952381,0.0,0.18954403533808922,0.37908807067617845
45,0.0439453125,2.0825694547784392,3.5029212962962966,0.6600088320914811,0.0063551841695815075,1.7399636288287492,3.1699652777777776,0.9161904761904762,0.0,0.1921551712529997,0.3843103425059994
46,0.044921875,2.0985686889395705,3.5105353907867496,0.6664859069408526,0.0062910930176283165,1.7214280961110224,3.1767578125,0.9142857142857143,0.0,0.19469777700975172,0.38939555401950343
47,0.0458984375,2.1142815488063573,3.5180209916413374,0.6727462848095336,0.00622922802263001,1.7035678961522074,3.183552194148936,0.9123809523809524,0.0,0.19716700858113423,0.39433401716226846
48,0.046875,2.1297688898964537,3.52537101624504,0.678673002685223,0.00617127595422938,1.6864198542418412,3.1905924479166665,0.9104761904761904,0.0,0.1995555237064009,0.3991110474128018
49,0.0478515625,2.1449716901269436,3.5326056092079687,0.6844239252544232,0.0061181015106397734,1.6698591843160153,3.197624362244898,0.9066666666666666,0.0,0.2018786760043877,0.4037573520087754
50,0.048828125,2.1600145926339285,3.539724702380952,0.6898597681970966,0.006065957652694829,1.6538891611317759,3.2048046875,0.9066666666666666,0.0,0.2041342368568505,0.408268473713701
51,0.0498046875,2.174829644097222,3.5467304213352007,0.6950671618246783,0.006016768223109606,1.6384669891096428,3.211856617647059,0.900952380952381,0.0,0.2063266041613609,0.4126532083227218
52,0.05078125,2.1894018018114694,3.553608630952381,0.7001241171341377,0.005972378096794115,1.6234846671674883,3.2187124399038463,0.8990476190476191,0.0,0.2084697487895512,0.4169394975791024
53,0.0517578125,2.2037531850151617,3.560370760332435,0.704966172142884,0.005933924550486082,1.6089892871000866,3.2253095518867925,0.8990476190476191,0.0,0.2105556808019321,0.4211113616038642
54,0.052734375,2.2178662281608243,3.5670396549823633,0.7096707623325426,0.005898168553560769,1.5949315199035394,3.231807002314815,0.8933333333333333,0.0,0.21259029043703936,0.42518058087407873
55,0.0537109375,2.2317425510687228,3.57359503517316,0.7142577598261011,0.005865227876013984,1.5812532719911074,3.2382102272727273,0.8933333333333333,0.0,0.2145809493804965,0.429161898760993
56,0.0546875,2.245391081725659,3.5800639748086733,0.7186788371936734,0.005832106059760076,1.5680227712584631,3.2444545200892856,0.8914285714285715,0.0,0.21651671478547707,0.43303342957095414
57,0.0556640625,2.2588390491201964,3.5864439745196326,0.7229287076142011,0.005799921422300085,1.5551988954394307,3.250548245614035,0.8914285714285715,0.0,0.21840259336073875,0.4368051867214775
58,0.056640625,2.2720779534200535,3.5927498332307066,0.72704514502742,0.005768986346808892,1.5427587313774045,3.2566002155172415,0.8895238095238095,0.0,0.22024105102852365,0.4404821020570473
59,0.0576171875,2.285111410096348,3.5989631255044388,0.73098475236538,0.005738579248748071,1.5307143036778517,3.262546345338983,0.8857142857142857,0.0,0.22202945019290482,0.44405890038580964
60,0.05859375,2.2980230112227185,3.605102740575397,0.7346536288934746,0.0057086687472078556,1.5190775037300792,3.2686197916666666,0.8838095238095238,0.0,0.2237651709376106,0.4475303418752212
61,0.0595703125,2.310771453881245,3.6111569330601094,0.7381594462338735,0.005679650218879805,1.5077613646831953,3.2744941086065573,0.8838095238095238,0.0,0.2254604355788271,0.4509208711576542
62,0.060546875,2.3233385161650344,3.6171270761328724,0.7415462154971124,0.005650340991343057,1.4967383132512666,3.280336441532258,0.8838095238095238,0.0,0.22711876061254438,0.45423752122508876
63,0.0615234375,2.335726708652211,3.6230227229780803,0.7448282938530408,0.0056222345996377,1.485995145739886,3.2861173115079363,0.878095238095238,0.0,0.22874157494530645,0.4574831498906129
64,0.0625,2.3479577128092446,3.62884527297247,0.7479577640101733,0.005595327932597485,1.4755505073639203,3.29193115234375,0.8742857142857143,0.0,0.23032551670522422,0.46065103341044844
65,0.0634765625,2.3600363080929485,3.634606169871795,0.750955500929369,0.005568823308674901,1.4653865358864537,3.2987079326923077,0.8723809523809524,0.0,0.23187276543692503,0.46374553087385006
66,0.064453125,2.3720222805623195,3.6402986336580088,0.7536775639895756,0.005542678616500013,1.4555596427078785,3.3053089488636362,0.8723809523809524,0.0,0.2333741893605994,0.4667483787211988
67,0.0654296875,2.383900135205668,3.645916788823738,0.7561913815743516,0.005517454872354401,1.4460076448263113,3.3117420708955225,0.8704761904761905,0.0,0.2348387679124465,0.469677535824893
68,0.06640625,2.395593097590599,3.6514663209033618,0.7586180514733645,0.0054933519606542355,1.436704527451713,3.3181295955882355,0.8685714285714285,0.0,0.23627005625513614,0.4725401125102723
69,0.0673828125,2.4071701725866976,3.656944875776398,0.7608829390536296,0.00547146643241652,1.4276340599928143,3.3245584239130435,0.8628571428571429,0.0,0.23767016381166295,0.4753403276233259
70,0.068359375,2.418593703497024,3.6623681972789113,0.7630807824052301,0.005448733658191671,1.4187679547182512,3.3308872767857145,0.8552380952380952,0.0,0.23904311400981,0.47808622801962
71,0.0693359375,2.429878312845825,3.667731859909457,0.7651802465475582,0.0054264975814226355,1.4101095787192233,3.337367957746479,0.8514285714285714,0.0,0.24038807020489378,0.48077614040978756
72,0.0703125,2.441021831855572,3.6730372127149473,0.7671806189971891,0.0054054312735770434,1.4016600605980372,3.343777126736111,0.8495238095238096,0.0,0.2417045473071619,0.4834090946143238
73,0.0712890625,2.452054469636742,3.678288792400522,0.7690663195007521,0.005386097709704514,1.393400936925357,3.350171232876712,0.8457142857142858,0.0,0.24299513278572726,0.4859902655714545
74,0.072265625,2.462975002765042,3.6834898347007723,0.770822113922405,0.005367395351139009,1.3853489410969573,3.356418918918919,0.8457142857142858,0.0,0.2442569319193677,0.4885138638387354
75,0.0732421875,2.473777101934524,3.6886406746031746,0.7724757670789842,0.0053477711016991876,1.377485288623147,3.3628385416666666,0.8457142857142858,0.0,0.24549261755128926,0.4909852351025785
76,0.07421875,2.4844708267250155,3.693735657503133,0.7740099994180019,0.0053281942080042,1.3698040380241407,3.369140625,0.8457142857142858,0.0,0.24670287593399415,0.4934057518679883
77,0.0751953125,2.495138101760591,3.6987732877241806,0.7753143000428964,0.005309562427365338,1.3623037860340659,3.375304383116883,0.8457142857142858,0.0,0.24788769216230333,0.49577538432460666
78,0.076171875,2.5057026182367976,3.703752098595848,0.7764898303268133,0.0052920425282903544,1.354977104942465,3.381335136217949,0.8438095238095238,0.0,0.24904801541420007,0.49809603082840015
79,0.0771484375,2.516159554654536,3.7086827060729357,0.7775722505033303,0.005274982416206371,1.3478088654218554,3.3872379351265822,0.8438095238095238,0.0,0.25018603689413915,0.5003720737882783
80,0.078125,2.5265241873604913,3.713573102678571,0.7785462506855109,0.005258333223356154,1.3408022065435672,3.39306640625,0.8438095238095238,0.0,0.2513010657668011,0.5026021315336022
